Name,Type,DateDebut,DateFin,maxHeures
CC-AA,U,0101,3112,2
CC-AC,U,0101,3112,2
CC-AK,U,0101,3112,2
CC-AW,U,0101,3112,2
CC-BE,U,0101,3112,2
CC-PB,U,0101,3112,2
CC-QT,U,0101,3112,2
CC-RC,U,0101,3112,2
CC-RN,U,0101,3112,2
CC-SK,U,0101,3112,2
CC-SX,U,0101,3112,2
CC-TN,U,0101,3112,2
CH-AA,U,0101,3112,2
CH-AB,U,0101,3112,2
CH-AC,U,0101,3112,2
CH-AD,U,0101,3112,2
CH-AI,U,0101,3112,2
CH-AJ,U,0101,3112,2
CH-AK,U,0101,3112,2
CH-AV,U,0101,3112,2
CH-AW,U,0101,3112,2
CH-AX,U,0101,3112,2
CH-AY,U,0101,3112,2
CH-AZ,U,0101,3112,2
CH-BE,U,0101,3112,2
CH-BG,U,0101,3112,2
CH-BH,U,0101,3112,11
CH-DD,U,0101,3112,2
CH-DG,U,0101,3112,2
CH-DH,U,0101,3112,2
CH-DI,U,0101,3112,2
CH-PB,U,0101,3112,2
CH-PO,U,0101,3112,2
CH-PU,U,0101,3112,4
CH-PX,U,0101,3112,2
CH-PY,U,0101,3112,2
CH-QD,U,0101,3112,2
CH-QE,U,0101,3112,2
CH-QF,U,0101,3112,2
CH-QK,U,0101,3112,2
CH-QR,U,0101,3112,2
CH-QS,U,0101,3112,2
CH-QT,U,0101,3112,2
CH-QW,U,0101,3112,2
CH-QX,U,0101,3112,2
CH-QY,U,0101,3112,2
CH-QZ,U,0101,3112,2
CH-RC,U,0101,3112,2
CH-RF,U,0101,3112,2
CH-RG,U,0101,3112,2
CH-RN,U,0101,3112,2
CH-RP,U,0101,3112,2
CH-RT,U,0101,3112,2
CH-RZ,U,0101,3112,2
CH-SC,U,0101,3112,2
CH-SE,U,0101,3112,2
CH-SF,U,0101,3112,2
CH-SG,U,0101,3112,2
CH-SI,U,0101,3112,2
CH-SK,U,0101,3112,2
CH-SM,U,0101,3112,2
CH-SR,U,0101,3112,2
CH-ST,U,0101,3112,2
CH-SU,U,0101,3112,2
CH-SV,U,0101,3112,2
CH-SW,U,0101,3112,2
CH-SX,U,0101,3112,2
CH-SY,U,0101,3112,2
CH-SZ,U,0101,3112,2
CH-TA,U,0101,3112,2
CH-TC,U,0101,3112,2
